"","prolific_participant_id","story_count","probe","probe_type","line","line_text","count_Question_board","Dimension","Foreshadow","Shift","Post_Topic","response","correct","response_time","age","Sex","First.Language","English.speaking.Monolingual","Current.Country.of.Residence"
"1","5f0da6848c9769018bb99f27",NA,"n","n",1,"Allan was on a hot streak bowling tonight.",NA,"","","","","space",1,3690,31,"Male","Italian","I know one other language in addition to English","Italy"
"2","5f0da6848c9769018bb99f27",NA,"n","n",2,"It was only the fifth frame, and he already had four strikes<br/>and a spare.",NA,"","","","","space",1,6742,31,"Male","Italian","I know one other language in addition to English","Italy"
"3","5f0da6848c9769018bb99f27",NA,"n","n",3,"He saw a ball from the next lane coming toward him.",NA,"","","","","space",1,4489,31,"Male","Italian","I know one other language in addition to English","Italy"
"4","5f0da6848c9769018bb99f27",NA,"n","s",4,"Allan began to curse and jump up and down.",NA,"","","","","space",1,4177,31,"Male","Italian","I know one other language in addition to English","Italy"
"5","5f0da6848c9769018bb99f27",NA,"n","s",5,"The guy next to him had slipped and rolled his ball into Allan¡¦s ankle.",NA,"","","","","space",1,5765,31,"Male","Italian","I know one other language in addition to English","Italy"
"6","5f0da6848c9769018bb99f27",NA,"y","f",0,"GRABING",NA,"","","","","j",1,3059,31,"Male","Italian","I know one other language in addition to English","Italy"
"7","5f0da6848c9769018bb99f27",NA,"n","n",6,"Allan realized the night might not be so great after all.",NA,"","","","","space",1,3169,31,"Male","Italian","I know one other language in addition to English","Italy"
"8","5f0da6848c9769018bb99f27",NA,"y","f",0,"DRINKING",NA,"","","","","j",1,2626,31,"Male","Italian","I know one other language in addition to English","Italy"
"9","5f0da6848c9769018bb99f27",NA,"y","q",0,"Is this true?<br/>Allan had two strikes and two spares.",NA,"","","","","j",1,6302,31,"Male","Italian","I know one other language in addition to English","Italy"
"10","5f0da6848c9769018bb99f27",NA,"n","n",1,"Caitlin was typing furiously on her laptop.",NA,"","","","","space",1,2325,31,"Male","Italian","I know one other language in addition to English","Italy"
"11","5f0da6848c9769018bb99f27",NA,"n","n",2,"The deadline for her paper was three hours away.",NA,"","","","","space",1,3225,31,"Male","Italian","I know one other language in addition to English","Italy"
"12","5f0da6848c9769018bb99f27",NA,"n","n",3,"But now the words were finally starting to flow.",NA,"","","","","space",1,2756,31,"Male","Italian","I know one other language in addition to English","Italy"
