"","prolific_participant_id","story_count","probe","probe_type","line","line_text","count_Question_board","Dimension","Foreshadow","Shift","Post_Topic","response","correct","response_time","age","Sex","First.Language","Fluent.languages"
"1","5f7afb469e43b9015ef53b9f",NA,"n","n",1,"Wes stepped out into the crisp morning air for a jog.",NA,"","","","","space",1,4165,54,"Female","DATA EXPIRED","English"
"2","5f7afb469e43b9015ef53b9f",NA,"n","n",2,"A few miles of running before work would be a great way<br/>to start the day.",NA,"","","","","space",1,2951,54,"Female","DATA EXPIRED","English"
"3","5f7afb469e43b9015ef53b9f",NA,"n","n",3,"He set out along his usual route near the waterfront.",NA,"","","","","space",1,1379,54,"Female","DATA EXPIRED","English"
"4","5f7afb469e43b9015ef53b9f",NA,"n","s",4,"He saw dog poo in his way but couldn¡¦t avoid it.",NA,"","","","","space",1,1735,54,"Female","DATA EXPIRED","English"
"5","5f7afb469e43b9015ef53b9f",NA,"n","s",5,"Suddenly, Wes began to gag.",NA,"","","","","space",1,1831,54,"Female","DATA EXPIRED","English"
"6","5f7afb469e43b9015ef53b9f",NA,"y","f",0,"STEPPING",NA,"","","","","j",0,10282,54,"Female","DATA EXPIRED","English"
"7","5f7afb469e43b9015ef53b9f",NA,"n","n",6," He thought about training for an upcoming 5K.",NA,"","","","","space",1,3738,54,"Female","DATA EXPIRED","English"
"8","5f7afb469e43b9015ef53b9f",NA,"y","f",0,"EATING",NA,"","","","","j",1,3007,54,"Female","DATA EXPIRED","English"
"9","5f7afb469e43b9015ef53b9f",NA,"y","q",0,"Is this true?<br/>Wes was jogging along the waterfront.",NA,"","","","","None",1,2195,54,"Female","DATA EXPIRED","English"
"10","5f7afb469e43b9015ef53b9f",NA,"n","n",1,"Allan was on a hot streak bowling tonight.",NA,"","","","","space",1,2728,54,"Female","DATA EXPIRED","English"
"11","5f7afb469e43b9015ef53b9f",NA,"n","n",2,"It was only the fifth frame, and he already had four strikes<br/>and a spare.",NA,"","","","","space",1,3286,54,"Female","DATA EXPIRED","English"
"12","5f7afb469e43b9015ef53b9f",NA,"n","n",3,"He saw a ball from the next lane coming toward him.",NA,"","","","","space",1,1770,54,"Female","DATA EXPIRED","English"
"13","5f7afb469e43b9015ef53b9f",NA,"n","s",4,"Allan began to curse and jump up and down.",NA,"","","","","space",1,2147,54,"Female","DATA EXPIRED","English"
"14","5f7afb469e43b9015ef53b9f",NA,"n","s",5,"The guy next to him had slipped and rolled his ball into Allan¡¦s ankle.",NA,"","","","","space",1,3534,54,"Female","DATA EXPIRED","English"
"15","5f7afb469e43b9015ef53b9f",NA,"y","f",0,"GRABING",NA,"","","","","j",1,4791,54,"Female","DATA EXPIRED","English"
"16","5f7afb469e43b9015ef53b9f",NA,"n","n",6,"Allan realized the night might not be so great after all.",NA,"","","","","space",1,1966,54,"Female","DATA EXPIRED","English"
"17","5f7afb469e43b9015ef53b9f",NA,"y","f",0,"DRINKING",NA,"","","","","j",1,4665,54,"Female","DATA EXPIRED","English"
"18","5f7afb469e43b9015ef53b9f",NA,"y","q",0,"Is this true?<br/>Allan had two strikes and two spares.",NA,"","","","","None",1,1801,54,"Female","DATA EXPIRED","English"
"19","5f7afb469e43b9015ef53b9f",NA,"n","n",1,"Caitlin was typing furiously on her laptop.",NA,"","","","","space",1,2380,54,"Female","DATA EXPIRED","English"
"20","5f7afb469e43b9015ef53b9f",NA,"n","n",2,"The deadline for her paper was three hours away.",NA,"","","","","space",1,1782,54,"Female","DATA EXPIRED","English"
"21","5f7afb469e43b9015ef53b9f",NA,"n","n",3,"But now the words were finally starting to flow.",NA,"","","","","space",1,2409,54,"Female","DATA EXPIRED","English"
"22","5f7afb469e43b9015ef53b9f",NA,"n","s",4,"She noticed with some annoyance that she was over the page limit.",NA,"","","","","space",1,2256,54,"Female","DATA EXPIRED","English"
"23","5f7afb469e43b9015ef53b9f",NA,"n","s",5,"She became very irritated.",NA,"","","","","space",1,1252,54,"Female","DATA EXPIRED","English"
"24","5f7afb469e43b9015ef53b9f",NA,"y","f",0,"TYPING",NA,"","","","","f",1,1847,54,"Female","DATA EXPIRED","English"
"25","5f7afb469e43b9015ef53b9f",NA,"n","n",6,"She was going to have to cut material to be under <br/>the limit  for the paper.",NA,"","","","","space",1,2135,54,"Female","DATA EXPIRED","English"
"26","5f7afb469e43b9015ef53b9f",NA,"y","f",0,"KICKING",NA,"","","","","j",1,1658,54,"Female","DATA EXPIRED","English"
"27","5f7afb469e43b9015ef53b9f",NA,"y","q",0,"Is this true?<br/>The deadline was four hours away.",NA,"","","","","None",0,1462,54,"Female","DATA EXPIRED","English"
"28","5f7afb469e43b9015ef53b9f",1,"n","n",1,"Rita sat down on the bench to eat some chocolate pudding.",NA,"Entity","n","y","","space",1,2791,54,"Female","DATA EXPIRED","English"
"29","5f7afb469e43b9015ef53b9f",1,"n","n",2,"She had been looking forward to it all day.",NA,"Entity","n","y","","space",1,2326,54,"Female","DATA EXPIRED","English"
"30","5f7afb469e43b9015ef53b9f",1,"n","s",3,"It wouldn¡¦t be long before it was gone.",NA,"Entity","n","y","","space",1,1834,54,"Female","DATA EXPIRED","English"
"31","5f7afb469e43b9015ef53b9f",1,"n","s",4,"She thought it was probably the best pudding she¡¦d ever tasted.",NA,"Entity","n","y","","space",1,2138,54,"Female","DATA EXPIRED","English"
"32","5f7afb469e43b9015ef53b9f",1,"y","v",0,"LOOKING",NA,"Entity","n","y","","j",0,3120,54,"Female","DATA EXPIRED","English"
"33","5f7afb469e43b9015ef53b9f",1,"n","s",5,"She looked at him as innocently as possible and said no.",NA,"Entity","n","y","","space",1,3876,54,"Female","DATA EXPIRED","English"
"34","5f7afb469e43b9015ef53b9f",1,"y","f",0,"SMILING",NA,"Entity","n","y","","j",1,3212,54,"Female","DATA EXPIRED","English"
"35","5f7afb469e43b9015ef53b9f",1,"n","s",6,"He could see some of the pudding smeared on her face.",NA,"Entity","n","y","","space",1,4161,54,"Female","DATA EXPIRED","English"
"36","5f7afb469e43b9015ef53b9f",1,"y","q",0,"Is this true?<br/>Rita was eating vanilla pudding.",NA,"Entity","n","y","","None",1,1402,54,"Female","DATA EXPIRED","English"
"37","5f7afb469e43b9015ef53b9f",2,"n","n",1,"Juan¡¦s meeting with the boss didn¡¦t quite go as planned.",NA,"Temporal","n","y","","space",1,3123,54,"Female","DATA EXPIRED","English"
"38","5f7afb469e43b9015ef53b9f",2,"y","f",0,"ARGUING",NA,"Temporal","n","y","","j",1,1851,54,"Female","DATA EXPIRED","English"
"39","5f7afb469e43b9015ef53b9f",2,"n","n",2,"He sat at his desk snacking on mixed nuts.",NA,"Temporal","n","y","","space",1,790,54,"Female","DATA EXPIRED","English"
"40","5f7afb469e43b9015ef53b9f",2,"n","n",3,"He was going to have to finish the new designs before <br/>the next client meeting.",NA,"Temporal","n","y","","space",1,2563,54,"Female","DATA EXPIRED","English"
"41","5f7afb469e43b9015ef53b9f",2,"n","s",4,"It was a pretty tall order.",NA,"Temporal","n","y","","space",1,1252,54,"Female","DATA EXPIRED","English"
"42","5f7afb469e43b9015ef53b9f",2,"n","s",5,"He reached for his coffee but caught himself when <br/>he remembered that the cup was empty.",NA,"Temporal","n","y","","space",1,2022,54,"Female","DATA EXPIRED","English"
"43","5f7afb469e43b9015ef53b9f",2,"y","v",0,"SNACKING",NA,"Temporal","n","y","","f",1,2305,54,"Female","DATA EXPIRED","English"
"44","5f7afb469e43b9015ef53b9f",2,"n","s",6,"At least the designs were finished.",NA,"Temporal","n","y","","space",1,1235,54,"Female","DATA EXPIRED","English"
"45","5f7afb469e43b9015ef53b9f",2,"n","s",7,"He could probably get a couple of hours of sleep before the meeting.",NA,"Temporal","n","y","","space",1,3194,54,"Female","DATA EXPIRED","English"
"46","5f7afb469e43b9015ef53b9f",2,"y","q",0,"Is this true?<br/>Juan¡¦s meeting went as he expected.",NA,"Temporal","n","y","","None",1,1353,54,"Female","DATA EXPIRED","English"
"47","5f7afb469e43b9015ef53b9f",3,"n","n",1,"Nicole was busy answering the phone and transferring calls.",NA,"Goal","n","n","","space",1,3068,54,"Female","DATA EXPIRED","English"
"48","5f7afb469e43b9015ef53b9f",3,"n","n",2,"It had been non-stop since she¡¦d arrived at nine this morning.",NA,"Goal","n","n","","space",1,1863,54,"Female","DATA EXPIRED","English"
"49","5f7afb469e43b9015ef53b9f",3,"n","n",3,"All she wanted to do was take a break and get some coffee.",NA,"Goal","n","n","","space",1,1778,54,"Female","DATA EXPIRED","English"
"50","5f7afb469e43b9015ef53b9f",3,"n","s",4,"She realized that someone had been on hold for five minutes.",NA,"Goal","n","n","","space",1,1997,54,"Female","DATA EXPIRED","English"
"51","5f7afb469e43b9015ef53b9f",3,"n","s",5,"She answered yet another call from an angry client.",NA,"Goal","n","n","","space",1,2179,54,"Female","DATA EXPIRED","English"
"52","5f7afb469e43b9015ef53b9f",3,"y","v",0,"ANSWERING",NA,"Goal","n","n","","j",0,1872,54,"Female","DATA EXPIRED","English"
"53","5f7afb469e43b9015ef53b9f",3,"n","n",6,"Hopefully the afternoon wouldn¡¦t be as busy.",NA,"Goal","n","n","","space",1,4007,54,"Female","DATA EXPIRED","English"
"54","5f7afb469e43b9015ef53b9f",3,"y","f",0,"QUITTING",NA,"Goal","n","n","","j",1,3806,54,"Female","DATA EXPIRED","English"
"55","5f7afb469e43b9015ef53b9f",3,"y","q",0,"Is this true?<br/>Nicole arrived at eight that morning.",NA,"Goal","n","n","","None",0,1082,54,"Female","DATA EXPIRED","English"
"56","5f7afb469e43b9015ef53b9f",4,"n","n",1,"Byron walked out of the salty air into the relative cool of the bridge.",NA,"Filler","f","f","","space",1,5182,54,"Female","DATA EXPIRED","English"
