session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current education level,Employment Status,First Language,First language,Fluent languages,Nationality,Sex,Student Status,Were you raised monolingual?
5fd05f542ffc3e0dff84c29e,5f5c983ce742b548181ef1e7,RETURNED,2020-12-09 05:31:57.481000,,26278.135684,20,44,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fd0603e7f62160debd08f7e,5b3fee0ffa5ed5000138d55d,TIMED-OUT,2020-12-09 05:27:26.314000,,26549.302849,20,8,0,100,,,United Kingdom,New Zealand,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),English,English,English,United Kingdom,Male,Yes,I was raised with my native language only
5fd062702c11cf0e08334a40,5f02af6b48794713aeb4fa60,RETURNED,2020-12-09 05:47:00.080000,,25375.568327,19,46,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fd0627bed47530d2f5dff76,5f987885443ece15c02e7919,AWAITING REVIEW,2020-12-09 05:37:04.639000,2020-12-09 05:52:12.680000,908.041,19,27,0,100,,30626D7D,United States,United States,Undergraduate degree (BA/BSc/other),,,English,English,United States,Female,Yes,I was raised with my native language only
5fd062d7f4c7a60d019d109c,5fcf196046526c21764b3dfd,AWAITING REVIEW,2020-12-09 05:38:31.290000,2020-12-09 05:59:32.899000,1261.609,24,2,0,100,,30626D7D,United States,United States,Undergraduate degree (BA/BSc/other),Part-Time,,English,English,United States,Female,Yes,I was raised with my native language only
5fd062dd2d600b0e08b16378,5fce97c19dbaef11cb9b5600,AWAITING REVIEW,2020-12-09 05:38:41.731000,2020-12-09 06:08:12.247000,1770.516,22,2,0,100,,NOCODE,Canada,Canada,Undergraduate degree (BA/BSc/other),Unemployed (and job seeking),,English,English,Canada,Male,Yes,I was raised with my native language only
5fd0633a74fdf60d03a0f4cd,5bd77196beca730001ced094,AWAITING REVIEW,2020-12-09 05:40:16.348000,2020-12-09 07:02:31.020000,4934.672,42,159,0,100,,30626D7D,United States,United States,Undergraduate degree (BA/BSc/other),Full-Time,English,,English,United States,Female,No,I was raised with my native language only
5fd063823207a30e04f3f4b6,5b0df4fbee290600010f5636,AWAITING REVIEW,2020-12-09 05:41:36.928000,2020-12-09 05:58:25.303000,1008.375,26,173,0,100,,30626D7D,Singapore,New Zealand,Undergraduate degree (BA/BSc/other),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,English,Singapore,Female,Yes,I was raised with my native language only
5fd063b0689cc70d3bc3f3c0,5cd3d5760b858f0016ccd823,AWAITING REVIEW,2020-12-09 05:42:12.566000,2020-12-09 06:04:22.875000,1330.309,29,639,3,100,,30626D7D,United States,United States,Undergraduate degree (BA/BSc/other),Other,English,English,English,United States,Female,No,I was raised with my native language only
5fd063d221b2010d12f23944,5f55684026475e94189c61b3,RETURNED,2020-12-09 05:42:42.139000,,25634.761284,28,51,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fd0646e50da610ded75235e,5f97412c704b580e6a721278,AWAITING REVIEW,2020-12-09 05:45:44.080000,2020-12-09 06:09:23.151000,1419.071,21,0,0,100,,30626D7D,United States,United States,Undergraduate degree (BA/BSc/other),Other,,English,English,United States,Male,Yes,I was raised with my native language only
